product_name,report_path,report_y3_revenue,homepage_y3_revenue,y1_y2_present,y4_y5_present,forecast_channel_scope,sku_unit_assumptions,asp_assumptions,channel_assumptions,conflicts_or_inconsistencies
Emergency Kit,products/emergency-kit/index.html,$29.9M,$30M,Yes (Y1 $7.0M / Y2 $16.5M),No (no Y4 or Y5 forecast),All-channel + SKU bottom-up (Amazon + Home Depot/Walmart/Costco + insurance partnerships modeled),Two SKUs: Screen-only 30K/60K/100K @ $149 and Combo kit 10K/30K/60K @ $249 — Y3 total 160K units,$149 (Screen) / $249 (Combo) — fixed ASP per SKU,Y1 Company Website + Amazon; Y2 Home Depot/Lowe's + Walmart; Y2-Y3 Costco + insurance (State Farm/Allstate/Hippo). No explicit channel mix %.,Minor: report $29.9M vs homepage $30M — <0.5% rounding. No material conflicts.
Jump Starter,products/jump-starters/index.html,$17.3M,$17M,Yes (Y1 $4.15M / Y2 $10.1M),No (no Y4 or Y5 forecast),All-channel implied + SKU bottom-up (Amazon emphasized; AutoZone retail likely),Two SKUs: Compact 20K/50K/90K @ $70 and A3 Full-Size 25K/60K/100K @ $110 — Y3 total 190K units,$70 (Compact) / $110 (Full-Size) — note pricing strategy flagged as key sensitivity,Amazon primary called out ($11.1M/mo combo segment). No retailer named explicitly. Pricing strategy flagged as key lever.,Minor: report $17.3M vs homepage $17M — ~1.8%. Verdict notes model 'should be re-calibrated once final pricing and spec decisions are made.'
Mechanic Stool,products/mechanic-stool/index.html,$3.87M,$3.9M,Yes (Y1 $0.98M / Y2 $2.11M),No (no Y4 or Y5 forecast),Amazon Y1 + multichannel Y2-Y3 (mostly all-channel by Y3),Two SKUs: Standard 6K/12K/20K @ $89 and Premium 3K/7K/14K @ $149 — Y3 total 34K units,$89 (Standard) / $149 (Premium) — discrete tiers,Y1 = 2 ASINs ramping on Amazon; Y2-Y3 = multichannel expansion. No retailer named. ~$99M market sized from Amazon $14.5M extrapolation.,Minimal: report $3.87M vs homepage $3.9M — <1%. Aligned.
Battery Monitor,products/battery-monitor/index.html,$2.01M,$2M,Yes (Y1 $0.71M / Y2 $1.34M),No (no Y4 or Y5 forecast),Ecommerce-primary (Amazon-dominant; retail expansion implied but not modeled),Two SKUs: Classic 18K/32K/48K @ $19.99 and Character 14K/28K/42K @ $24.99 — Y3 total 90K units (~50% of 180K Car Charger w/ Display category),$19.99 (Classic) / $24.99 (Character) — fixed ASP,Defensive refresh of Innova 3721. Amazon-dominant Y1; retail expansion TBD; no explicit channel mix %.,Minimal: report $2.01M vs homepage $2M — <1%. Verdict positions SKU as 'defensive (vs growth bet)' and 'meaningful for refresh but not category-defining.'
Tool Backpack,products/tool-backpack/index.html,$1.03M base / $1.87M high,$1.03M base,Yes (base Y1 $374K / Y2 $686K; high Y1 $624K / Y2 $1.25M),Yes (standardized base Y4 $1.13M / Y5 $1.24M; high Y4 $2.06M / Y5 $2.25M),Ecommerce-primary (Innova scanner cross-sell + Amazon),"Single SKU. Base 1,440/2,640/3,960 units (120/mo steady Y3); High 2,400/4,800/7,200 units (200/mo steady Y3). Units unchanged; revenue recalculated at $260 target price.",$260 blended target sell-through price used across base and high-case forecast rows.,"Primary = Innova scanner customer cross-sell (owned channel). Secondary = Amazon + website. No retail partnerships named. Quote: cross-sell channel is the moat, not the bag itself.",Updated: homepage bubble now matches base case $1.03M; high-case $1.87M remains a separate scenario and is not the homepage base.
Magnetic Silicone Fender Tool Roll,products/Magnetic-Fender-Tool-Roll/index.html,$1.75M,$1.75M,Yes (Y1 $480K / Y2 $1.02M),No (no Y4 or Y5 forecast),Amazon FBA primary + retail Y2-Y3 (multichannel by Y3 but channel mix not quantified),"Two SKUs: Standard Roll 600/1,200/2,000 units @ $49.99 and Pro/XL 150/375/650 units @ $69.99 — Y3 total 2,650 units. Adjacent Amazon market $1.82M/yr (fender covers + tool trays).",$49.99 (Standard) / $69.99 (Pro/XL) — fixed ASP per SKU,Y1 Amazon FBA primary; Y2 line extensions + Innova retail (NAPA/AutoZone implied); Y3 cross-list under both 'Fender Protectors' and 'Tool Trays' subcats. No channel mix %.,Perfectly aligned: report $1.75M vs homepage $1.75M.
DMM (Digital Multimeter),products/DMM/index.html,~$4.5M base / ~$5.3M upside,~$4.0M,Yes (base Y1 ~$4.0M / Y2 ~$4.2M; upside Y1 ~$4.2M / Y2 ~$4.7M),No (no Y4 or Y5 forecast),All-channel modeled explicitly (Amazon + AutoZone 3-SKU retail rows),"Current Innova Amazon: 3320 6,048 units / $191K (15mo) and 3340 1,380 units / $90K (15mo). AutoZone 3-SKU drives ~$3.74M Y1. Concept Audio DMM speculative 20K-60K units.",3320 $30-36 / 3340 $70-95 / Concept Audio target $40-55. Amazon category avg ~$70-80.,"Base case: Amazon ($270K Y1 → $360K Y3) + AutoZone 3 SKUs ($3.74M Y1 → $4.12M Y3) = ~$4.0M Y1 → ~$4.5M Y3. Quote: 'Innova's real strength is omnichannel — especially its AutoZone partnership, which Amazon data does not capture.'",Moderate: report base Y3 ~$4.5M vs homepage ~$4.0M — ~12% variance. Homepage may reflect conservatism vs. report base case. Concept Audio DMM flagged as 'demand-unproven' warranting $500-2K concept test.
Leak Detector Sniffer,products/Leak Detector Sniffer/index.html,$1.84M,$1.84M,Yes (Y1 $535K / Y2 $1.11M),No (no Y4 or Y5 forecast),Amazon primary + retail secondary implied (not quantified),"Single dual-mode SKU (EVAP/Smoke). Y1 3,300 / Y2 6,500 / Y3 11,200 units. Elitech ILD-200 benchmark ~3,400 units/yr at $191 = ~$650K/yr.","Not explicitly stated. Narrative implies $100-200 tier; Elitech benchmark $191. Innova target likely $150-200, not confirmed.","'Low incremental investment (existing sensor tech, Amazon/retail channels).' Y1 Amazon-focused; Y2-Y3 retail expansion (AutoZone/NAPA implied). No channel mix %.",Perfectly aligned: report $1.84M vs homepage $1.84M. Report explicitly notes Y3 is 'modest — below the typical $3M SKU threshold.'
LED Light Bar (MODU-LIGHT PRO),products/LED Light Bar/index.html,~$3.9M base / ~$6.1M high,$3.8M,Yes (base Y1 ~$1.5M / Y2 ~$2.9M; high Y1 ~$2.0M / Y2 ~$3.8M),No (no Y4 or Y5 forecast),All-channel modeled (Amazon + commercial retail + accessories sequence),"Primary MODU-LIGHT PRO: base 1,500/mo Y1 → 4,000/mo Y3 (~36-48K units/yr). Accessories add $0.1-$0.6M revenue. No detailed unit table.",$79 MAP on base product. Accessories ASP not quantified. Commercial tier likely higher.,Base sequence: Amazon Y1 (DTC) → AutoZone Commercial Y2 (B2B) → NAPA/O'Reilly Y3 (professional installer). High case adds Harbor Freight or other national retail.,Minimal: report base $3.9M vs homepage $3.8M — ~2.6%. Aligned.
Oil Extractor Tool,products/Oil Extractor Tool/index.html,$3.58M,$3.58M,Yes (Y1 $820K / Y2 $1.90M),No (no Y4 or Y5 forecast),All-channel modeled (Amazon Y1 + 2nd retailer Y2 + 3rd retailer Y3),Two SKUs: Automatic Standard ~12K units Y3 @ $399-449 and Manual ~7K units Y3 @ $199-249. Y3 total ~19K units. Y1 = ~73% of VEVOR's ~16.6K/yr Amazon velocity.,Automatic $399-449 / Manual $199-249. Implied blended ~$188 (suggests Manual-heavy mix).,Y1 Amazon (~73% of VEVOR velocity = ~12K units); Y2 +2nd retailer + Manual SKU launch (2.3x rev multiplier); Y3 +3rd retailer + organic Amazon ranking (1.9x multiplier). Specific retailers not named.,Perfectly aligned: report $3.58M vs homepage $3.58M.
Articulating Borescope,products/Borescope-CameraB/index.html,$10.58M (Screen) + $0.94M (Wireless),$10.6M (Screen only on map),Yes (Screen Y1 $3.80M / Y2 $6.58M; Wireless Y1 $0.33M / Y2 $0.60M),No (no Y4 or Y5 forecast),All-channel modeled (Amazon + AutoZone/Advance/NAPA/O'Reilly retail rows explicit),"Screen-Based: Amazon Y3 36,800 units @ $129 + Offline Y3 37,000 units @ ~$149 blended = 73,800 units total. Wireless/App: Amazon Y3 9,800 + Offline Y3 1,800 = 11,600 units. Assumes Amazon rank-3 capture + 40% offline uplift.",Screen Amazon $129 / Retail $149 (blended Y3 $143) — Wireless Amazon $79 (blended Y3 $81),"Screen Y3: ~50% Amazon / ~50% offline. Wireless: primarily Amazon Y1-Y2, minimal offline by Y3. Explicit retail partner names: AutoZone/Advance/NAPA/O'Reilly.",Minimal: Screen report $10.58M vs homepage $10.6M — <0.2%. Two-candidate decision tree: Screen = conditional GO; Wireless = NO-GO (sub-scale at $0.94M).
Digital Gauge,products/Digital-Gauge/index.html,$2.80M base ($1.95M risk / $4.50M upside),$2.8M,Yes (base Y1 $0.45M / Y2 $1.45M; risk Y1 $0.32M / Y2 $0.95M; upside Y1 $0.70M / Y2 $2.25M),No (no Y4 or Y5 forecast),All-channel modeled (Amazon + regional/national retail by scenario),Single SKU at $185 ASP. Y3 units: Risk ~10.5K / Base ~15.1K / Upside ~24.3K. Forecast scales with channel reach not SKU count.,$185 fixed ASP — uniform across all scenarios.,Risk = Amazon-only + delayed retail; Base = Amazon + AutoZone/Walmart regional pilot + normal promo; Upside = national retail (HD/Lowe's/Ace) + Harbor Freight + prosumer overflow. Quote: 'Upside $4.50M is achievable only with national retail.',Perfectly aligned: report base $2.80M vs homepage $2.8M.
Thermal / Night Vision Monocular,products/thermal-monocular/index.html,$5.24M (ecommerce base case),$5.24M,Partial — Y1/Y2 unit volumes shown per SKU/channel but no aggregated Y1/Y2 revenue figures,Narrative reference to '5-year analysis' / TOPDON ramp but no explicit Y4/Y5 revenue table,Ecommerce base case explicit (omnichannel referenced but not quantified),Two SKUs (Standard entry/mid + Premium pro tier). Yr 1/Yr 2/Yr 3 unit columns per SKU/channel. Specific volumes inferred but Y1/Y2 revenue aggregate not reported.,"Inferred from TOPDON benchmark: $499-599 entry / $1,299-1,499 premium. Innova target prices not explicitly stated.","'Ecommerce base case' suggests Amazon primary Y1, omnichannel Y2-Y3. References TOPDON 3-tier brand strategy. Channel mix % not given.","Y3 perfectly aligned ($5.24M = $5.24M). HOWEVER: report structure atypical — Y1/Y2 only show units, not aggregated revenue, making year-by-year growth less transparent than other reports. Forecast section labeled 'ecommerce base case' but report claims all-channel implication."
Misfire Diagnostic Kit,products/misfire-diagnostic-kit/index.html,~$0.8M conservative (~$1.2M upside @ 500 units/mo),Not on map (in review),Yes (Metric/Y1/Y2/Y3 table exists; specific Y1/Y2 figures not extracted),Narrative-only (path to '3-SKU diagnostic family' but no explicit Y4/Y5 revenue table),Amazon-primary Y1 + Innova retail expansion implied (not modeled),Single SKU concept. Y3 conservative ~4K units/yr; upside ~6K units/yr (500/mo) at $199.99 ASP. No multi-SKU detail.,$199.99 fixed ASP (Premium DIY tier).,"Launch: Amazon US primary; expand to Innova retail (AutoZone/NAPA implied). No channel mix % or rollout sequence detail. Positioned as 'category-builder with path to 3-SKU diagnostic family, not standalone hero SKU.'",Status: Report Y3 ~$0.8M conservative; product 'in review' — not on homepage priority map. Range $0.8M-$1.2M depending on units/mo achieved.
